uniprot_accession,signal_peptide,transmembrane,topological_domain,subcellular_location_[cc]
P41440,,"TRANSMEM 30..50; /note=""Helical; Name=1""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 65..87; /note=""Helical; Name=2""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 92..112; /note=""Helical; Name=3""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 117..139; /note=""Helical; Name=4""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 154..178; /note=""Helical; Name=5""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 184..202; /note=""Helical; Name=6""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 267..292; /note=""Helical; Name=7""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 305..327; /note=""Helical; Name=8""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 334..354; /note=""Helical; Name=9""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 361..384; /note=""Helical; Name=10""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 399..422; /note=""Helical; Name=11""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TRANSMEM 431..455; /note=""Helical; Name=12""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""","TOPO_DOM 1..29; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 51..64; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 88..91; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 113..116; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 140..153; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 179..183; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 203..266; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 293..304; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 328..333; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 355..360; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 385..398; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 423..430; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""; TOPO_DOM 456..591; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0007744|PDB:7TX6, ECO:0007744|PDB:7TX7, ECO:0007744|PDB:7XPZ, ECO:0007744|PDB:7XQ0, ECO:0007744|PDB:7XQ1, ECO:0007744|PDB:7XQ2, ECO:0007744|PDB:8DEP, ECO:0007744|PDB:8GOE, ECO:0007744|PDB:8GOF, ECO:0007744|PDB:8HII, ECO:0007744|PDB:8HIJ, ECO:0007744|PDB:8HIK""","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10347183, ECO:0000269|PubMed:10787414, ECO:0000269|PubMed:15337749, ECO:0000269|PubMed:16115875, ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193, ECO:0000269|PubMed:36745868, ECO:0000269|PubMed:9767079}; Multi-pass membrane protein {ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193}. Apical cell membrane {ECO:0000269|PubMed:10787414}; Multi-pass membrane protein {ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193}. Basolateral cell membrane {ECO:0000269|PubMed:10787414}; Multi-pass membrane protein {ECO:0000269|PubMed:36071163, ECO:0000269|PubMed:36265513, ECO:0000269|PubMed:36575193}."
P34925,"SIGNAL 1..25; /evidence=""ECO:0000255""","TRANSMEM 228..248; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 26..227; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 249..607; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000255}. Nucleus {ECO:0000250|UniProtKB:Q01887}. Cytoplasm {ECO:0000250|UniProtKB:Q01887}. Note=In cells that have undergone neuronal differentiation, the C-terminal cleaved part is translocated from the cytoplasm to the nucleus. {ECO:0000250|UniProtKB:Q01887}."
P36543,,,,"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:29993276}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:Q6PCU2}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250|UniProtKB:Q6PCU2}; Peripheral membrane protein {ECO:0000305}. Lysosome membrane {ECO:0000305|PubMed:39695235}; Peripheral membrane protein {ECO:0000305}."
P39656,"SIGNAL 1..42; /evidence=""ECO:0000250""","TRANSMEM 428..447; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 43..427; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 448..456; /note=""Cytoplasmic""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q29381}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q29381}.
P26641,,,,
P31749,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P31750}. Nucleus {ECO:0000269|PubMed:20333297}. Cell membrane {ECO:0000269|PubMed:20333297, ECO:0000269|PubMed:40285646}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:P31750}. Note=Nucleus after activation by integrin-linked protein kinase 1 (ILK1). Nuclear translocation is enhanced by interaction with TCL1A. Phosphorylation on Tyr-176 by TNK2 results in its localization to the cell membrane where it is targeted for further phosphorylations on Thr-308 and Ser-473 leading to its activation and the activated form translocates to the nucleus. Colocalizes with WDFY2 in intracellular vesicles (PubMed:16792529). Also localizes to mitochondrial intermembrane space in response to rapamycin treatment (By similarity). {ECO:0000250|UniProtKB:P31750, ECO:0000269|PubMed:16792529}."
P35579,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22693546}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q8VDD5}. Cytoplasmic vesicle, secretory vesicle, Cortical granule {ECO:0000250|UniProtKB:Q8VDD5}. Cell membrane. Note=Colocalizes with actin filaments at lamellipodia margins and at the leading edge of migrating cells (PubMed:20052411). In retinal pigment epithelial cells, predominantly localized to stress fiber-like structures with some localization to cytoplasmic puncta (PubMed:27331610). {ECO:0000269|PubMed:20052411, ECO:0000269|PubMed:27331610}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20944748}. Note=(Microbial infection) Localizes at the surface of the cell membrane following infection by herpes simplex virus 1/HHV-1,. {ECO:0000269|PubMed:20944748}."
P37268,,"TRANSMEM 284..304; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 384..404; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q02769}; Multi-pass membrane protein {ECO:0000255}.
P38606,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29668857, ECO:0000269|PubMed:33208464}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P50516}. Cytoplasmic vesicle, secretory vesicle {ECO:0000269|PubMed:23035048}. Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250|UniProtKB:P31404}; Peripheral membrane protein {ECO:0000305}. Lysosome membrane {ECO:0000305|PubMed:22053050}; Peripheral membrane protein {ECO:0000305}. Note=Co-localizes with WFS1 in the secretory granules in neuroblastoma cell lines. {ECO:0000269|PubMed:23035048}."
P42331,,,,
P35658,,,,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:8108440}. Note=Cytoplasmic side of the nuclear pore complex. {ECO:0000269|PubMed:8108440}."
P27448,,,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21145462}; Peripheral membrane protein {ECO:0000269|PubMed:21145462}. Cell projection, dendrite {ECO:0000269|PubMed:23666762}. Cytoplasm {ECO:0000269|PubMed:23666762}."
P43487,,,,
P46934,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11342538}. Nucleus {ECO:0000269|PubMed:11342538}. Cell membrane {ECO:0000250|UniProtKB:P46935}; Peripheral membrane protein {ECO:0000250|UniProtKB:P46935}. Note=Predominantly cytoplasmic but also located in the nucleus (PubMed:11342538). Recruited to the plasma membrane by GRB10. Once complexed with GRB10 and IGF1R, follows IGF1R internalization, remaining associated with early endosomes. Uncouples from IGF1R-containing endosomes before the sorting of the receptor to the lysosomal compartment (By similarity). May be recruited to exosomes by NDFIP1 (PubMed:18819914). {ECO:0000250|UniProtKB:P46935, ECO:0000269|PubMed:11342538, ECO:0000269|PubMed:18819914}."
P47712,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11375391}. Golgi apparatus membrane {ECO:0000269|PubMed:11375391}. Nucleus envelope. Note=Translocates to intracellular membranes in a calcium-dependent way. {ECO:0000269|PubMed:11375391}.
P47756,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:A9XFX6}. Cytoplasm, myofibril, sarcomere {ECO:0000250|UniProtKB:A9XFX6}."
P48509,,"TRANSMEM 19..39; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 58..78; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 92..112; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 222..242; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..18; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 40..57; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 79..91; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 113..221; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 243..253; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22843693, ECO:0000269|PubMed:24723389}; Multi-pass membrane protein. Note=Relocalizes to the immune synapse in T-cells upon activation. {ECO:0000269|PubMed:24723389}."
P48730,,,,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm, perinuclear region. Cell membrane. Cytoplasm, cytoskeleton, spindle. Golgi apparatus. Note=Localized at mitotic spindle microtubules, and at the centrosomes and interphase in interphase cells. Recruited to the spindle apparatus and the centrosomes in response to DNA-damage. Correct subcellular localization requires kinase activity."
P49137,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20932473}. Nucleus {ECO:0000269|PubMed:20932473}. Note=Phosphorylation and subsequent activation releases the autoinhibitory helix, resulting in the export from the nucleus into the cytoplasm."
P49189,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JLJ3}. Cytoplasm {ECO:0000269|PubMed:1799975}."
P49458,,,,SUBCELLULAR LOCATION: Cytoplasm.
P49703,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:17398095}. Nucleus {ECO:0000269|PubMed:17398095}. Cytoplasm {ECO:0000269|PubMed:17398095}."
P49761,,,,"SUBCELLULAR LOCATION: [Isoform 1]: Nucleus. Cytoplasm {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus speckle. Note=Co-localizes with serine- and arginine-rich (SR) proteins in the nuclear speckles."
P49790,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:38129135}. Nucleus membrane. Nucleus, nuclear pore complex. Note=Tightly associated with the nuclear membrane and lamina (By similarity). Localized to the nucleoplasmic side of the nuclear pore complex (NPC) core structure, forming a fibrous structure called the nuclear basket. Dissociates from the NPC structure early during prophase of mitosis. Integrated in the newly assembled nuclear envelope of postmitotic cells early in G1. Colocalized with NUP98 and TPR to the nuclear basket at the nucleoplasmic side of the NPC. Detected in diffuse and discrete intranuclear foci. Remained localized to the nuclear membrane after poliovirus (PV) infection. Colocalizes with NUP210L at the nuclear periphery in round spermatids and at the caudal extremity in elongating spermatids (PubMed:38129135). {ECO:0000250, ECO:0000269|PubMed:38129135}."
P50552,,,,"SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton. Cell junction, focal adhesion. Cell junction, tight junction {ECO:0000250}. Cell projection, lamellipodium membrane. Cell projection, filopodium membrane. Note=Targeted to stress fibers and focal adhesions through interaction with a number of proteins including MRL family members. Localizes to the plasma membrane in protruding lamellipodia and filopodial tips. Stimulation by thrombin or PMA, also translocates VASP to focal adhesions. Localized along the sides of actin filaments throughout the peripheral cytoplasm under basal conditions. In pre-apoptotic cells, colocalizes with MEFV in large specks (pyroptosomes)."
P51114,,,,"SUBCELLULAR LOCATION: Cytoplasm, Cytoplasmic ribonucleoprotein granule {ECO:0000269|PubMed:32706158, ECO:0000269|PubMed:39106863}. Cytoplasm, Stress granule {ECO:0000269|PubMed:20417602}. Cytoplasm {ECO:0000269|PubMed:30770808, ECO:0000269|PubMed:7781595, ECO:0000269|PubMed:9259278}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q61584}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q61584}. Cell projection, axon {ECO:0000250|UniProtKB:Q61584}. Nucleus envelope {ECO:0000269|PubMed:32706158}. Postsynapse {ECO:0000250|UniProtKB:Q61584}. Note=Specifically localizes to cytoplasmic ribonucleoprotein membraneless compartments (By similarity). Localizes to stress granules following phosphorylation at Ser-420 by PAK1 (PubMed:20417602). Adjacent to Z-lines in muscles (By similarity). {ECO:0000250|UniProtKB:Q61584, ECO:0000269|PubMed:20417602}."
P42766,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.
P46013,,,,"SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:15896774, ECO:0000269|PubMed:22002106, ECO:0000269|PubMed:27362226, ECO:0000269|PubMed:32879492, ECO:0000269|PubMed:35513709, ECO:0000269|PubMed:39153474, ECO:0000269|PubMed:9510506}. Nucleus {ECO:0000269|PubMed:10878551, ECO:0000269|PubMed:22002106}. Nucleus, nucleolus {ECO:0000269|PubMed:10878551, ECO:0000269|PubMed:22002106, ECO:0000269|PubMed:2674163, ECO:0000269|PubMed:8799815}. Note=During early mitosis, relocalizes from nucleoli to the surface of the mitotic chromosome, the perichromosomal layer, and covers a substantial fraction of the mitotic chromosome surface (PubMed:27362226). Associates with satellite DNA in G1 phase (PubMed:9510506). Binds tightly to chromatin in interphase, chromatin-binding decreases in mitosis when it associates with the surface of the condensed chromosomes (PubMed:15896774, PubMed:22002106). Predominantly localized in the G1 phase in the perinucleolar region, in the later phases it is also detected throughout the nuclear interior, being predominantly localized in the nuclear matrix (PubMed:22002106). {ECO:0000269|PubMed:15896774, ECO:0000269|PubMed:22002106, ECO:0000269|PubMed:27362226}."
P46734,,,,
